Week,Calories,Weight
1,2180,288
2,2167,286
3,2155,284
4,2142,282
5,2130,280
6,2117,278
7,2105,276
8,2092,274
9,2080,272
10,2067,270
11,2055,268
12,2043,266
13,2030,264
14,2018,262
15,2005,260
16,1993,258
17,1980,256
18,1968,254
19,1955,252
20,1943,250
21,1930,248
22,1918,246
23,1905,244
24,1893,242
25,1880,240
26,1868,238
27,1855,236
28,1843,234
29,1830,232
30,1818,230
31,1806,228
32,1793,226
33,1781,224
34,1768,222
35,1756,220
36,1743,218
37,1731,216
38,1718,214
39,1706,212
40,1693,210
41,1681,208
42,1668,206
43,1656,204
44,1643,202
45,1631,200
46,1618,198
47,1606,196
48,1593,194
49,1581,192
50,1569,190
